;title;text;label
0;Sanders back in U.S. Senate
514;Tillerson says he and Trump disagree over Iran nuclear deal;(Corrects this August 1st story to show Tillerson did not say European countries would be reluctant to re-impose sanctions in 11th paragraph) By Yeganeh Torbati WASHINGTON (Reuters) - U.S. Secretary of State Rex Tillerson acknowledged on Tuesday that he and President Donald Trump disagree over the 2015 Iran nuclear deal
515;The BRUTAL Truth About Why Kids Love Bernie Sanders; At some point
516; Right-Wingers Actually HONOR The Cops Who Killed Freddie Gray (VIDEO);The Media Research Center
517;U.S. senators seek details on 'dubious' oversight shift by Japanese bank;WASHINGTON (Reuters) - A decision by Mitsubishi UFJ Financial Group Inc (MUFG) to shift its U.S. banks from state regulators to a federal bank regulator is garnering scrutiny from a pair of U.S. Democratic senators. Senators Elizabeth Warren and Chris Van Hollen sent a letter to the Office of the Comptroller of the Currency on Monday
518;NJ GOV #ChrisChristie Busted On Beach After Closing It To The Public…SOCIAL MEDIA GOES CRAZY;New Jersey Governor Chris Christie is catching heat on Twitter after he spent Sunday soaking up the sun with his family on a state beach that was closed to the public. The outrage was caused when the state legislators couldn t agree on a budget so they closed down 11 miles of state beaches to the general public during 4th of July weekend BUT the rules apparently don t apply to Christy!Christie hosted a private beach party! He was caught lounging at the beach with his entourage which catapulted the hashtag #ChrisChristie to the top of Twitter trends on Sunday night into Monday morning PHOTOSHOP GOLD! WHEN YOU RE CHRIS CHRISTIE IN YOUR LAST TERM DGAF When you re #ChrisChristie
519;Race for U.S. Senate seat in Indiana shaken up by Hill withdrawal;WASHINGTON (Reuters) - Democrat Baron Hill on Monday announced he was leaving the race for an open U.S. Senate seat in Indiana
520;Poll: Trump extends his lead among Republicans with 42 percent support;(Reuters) - Celebrity real estate developer Donald Trump has extended his lead nationally over Senator Ted Cruz of Texas and Ohio Governor John Kasich for the Republican presidential nomination
521;Coca
522; New Research Shows Trump’s Border Wall Will Be Even MORE Worthless Than We Thought (DETAILS);Build the wall! Build the wall!  Supposedly nobody builds better walls than Donald Trump
"523;Mexico to counter negative tone of U.S. presidential race;""MEXICO CITY (Reuters) - Mexico’s government is planning a diplomatic push to counter aggressive rhetoric against its nationals in the U.S. election race"
524;WATCH “ARCHITECT” OF OBAMACARE Lie And Spin His Way Out Of Taking Responsibility For Failure…A Real PUTZ! [Video];Listening to Zeke Emanuel
525;White House welcomes U.S. court ruling on carbon emissions plan;WASHINGTON (Reuters) - The White House said on Thursday that it was pleased that a U.S. appellate court had denied a bid by 27 states to block the Obama administration’s Clean Power Plan while litigation challenging the regulation continues. “We are confident that the plan will reduce carbon pollution and deliver better air quality
526; Trump Takes His Voter Fraud Conspiracy To A TERRIFYING New Level;Donald Trump has been obsessed with the fact that he lost the popular vote to Hillary Clinton ever since the election results came in. Not satisfied with the Electoral College victory that handed him the White House
527;Divided on Trump
528;House reauthorizes Iran sanctions bill
529;DISTURBING TRUTH ABOUT How The UN Decides Which Muslim “REFUGEES” Will Be Your New Neighbor [VIDEO];Every American should know the corrupt UN has been
530; UNHINGED: White Male GOP Rep. Makes COMPLETELY Off-The-Wall Claim About How ACA Hurt Women;Rep. Jason Smith of Missouri spent International Women s Day advocating for women   or so we re sure he thought. He s a supporter of the GOP s plan for repealing the ACA
531;Rights group accuses Myanmar of crimes against humanity;YANGON (Reuters) - Myanmar is committing crimes against humanity in its campaign against Muslim insurgents in Rakhine state
532;First planned North Korea-U.S. contact in Trump administration canceled: WSJ;SEOUL (Reuters) - Plans for the first contact between North Korea and the United States after President Donald Trump took office were canceled after the U.S. State Department denied a visa for the top envoy from Pyongyang
533; Here’s The Most Scathing Indictment Yet Of The Anti-LBGT Hate That Caused The Orlando Massacre;There are too many people in our society who find the idea of two people of the same gender kissing
534;Republican Trump's new finance chair previously donated to Democrats;WASHINGTON (Reuters) - Republican Donald Trump named a national finance chairman for his presidential campaign on Thursday
535; GOP Rep. To Struggling Mom: Get A Job If You Need Medicine For Your Kids;A struggling mom sent an email to all 122 of Mississippi s lawmakers asking for help getting insulin and an insulin pump for her diabetic daughter. This was after she called 23 suppliers
536;Panama Papers Show Donald Trump’s Name Mentioned Over 3
537; BREAKING: Putin Directly Orchestrated Hacks To Get Trump Elected (VIDEO);It s no secret that Russia was behind the election hacks of Donald Trump s political opponents with the express goal of getting Donald Trump elected as well as mobilizing a Kremlin-funded  troll army  to pose as Trump supporters and spread propaganda on his behalf. But it s almost inconceivable that Vladimir Putin actually got his own hands dirty   or is it?Intelligence official now report that Vladimir Putin was not only aware of the attacks on our election (and more specifically
538;US MEDIA THROWING OUT “Unmitigated Bullsh*t.” In Effort To Destroy TRUMP…Liberal Journalist Squeals;Like we didn t know this already BUT now we have a firm account of media efforts to bury Trump. The globalists and media are having a hissy fit because the people are rising up against another term for Obama on steroids. Yes
539;OBAMA TO BRITAIN On His Legacy: I Saved The World Economy
540;Libyan rivals split over army leadership: Tripoli parliament head;TRIPOLI (Reuters) - Libyan factions involved in U.N.-brokered peace talks are still far apart on the issue of the leadership of a future national army
